cluster_id,n_photos,top_keywords,description
0,11004,"beaux arts, beaux, mus, placedesterreaux, musée beaux, arts, edesbeauxartsdelyon, terreaux, mus edesbeauxartsdelyon, musée","Cluster 0: beaux arts, beaux, mus"
1,19033,"saint jean, vieuxlyon, saint, jean, vieux, cathédrale, saintjean, cath, cathédrale saint, tedeslumi","Cluster 1: saint jean, vieuxlyon, saint"
2,9786,"bellecour, place bellecour, place, placebellecour, res, festa, passages, lumières, places, delle","Cluster 2: bellecour, place bellecour, place"
3,977,"parcdelat, tedor, parcdelat tedor, parc tête, parc, zoo, tête, tedor parc, animal, bird","Cluster 3: parcdelat, tedor, parcdelat tedor"
4,1693,"confluence, biennaledelyon, biennale, sucri, lasucri, artcontemporain, biennale artcontemporain, artcontemporain biennaledelyon, biennaledelyon biennale, cube orange","Cluster 4: confluence, biennaledelyon, biennale"
5,7512,"basilique, fourvière, dame, fourvi, basilica, basilique dame, fourviere, dame fourvière, church, dame fourviere","Cluster 5: basilique, fourvière, dame"
6,1685,"romain, theatre, nuits, gallo, gallo romain, antique, roman, fourvière, théâtre, mus","Cluster 6: romain, theatre, nuits"
7,14316,"chaos, demeureduchaos, abodeofchaos, thierryehrmann, demeureduchaos thierryehrmann, ddc, prophecy, organmuseum, mystery, lespritdelasalamandre","Cluster 7: chaos, demeureduchaos, abodeofchaos"
8,328,"lafayette, pont, pont lafayette, pontlafayette, bridge, river, river pont, nuit nuit, lerh, quaijulescourmont","Cluster 8: lafayette, pont, pont lafayette"
9,583,"tedor, parcdelat, parcdelat tedor, parc, tête, parc tête, fleurs, rouge soleil, tête macro, mouche","Cluster 9: tedor, parcdelat, parcdelat tedor"
10,1861,"bmx, guilloti, pont, skatepark, hebdo, river, bergesdurh, berges, fleuve, bridge","Cluster 10: bmx, guilloti, pont"
11,1683,"pasted, paper, pasted paper, croixrousse, streetart, wheatpaste, wheatpaper, pasteup, collage, europe croixrousse","Cluster 11: pasted, paper, pasted paper"
12,255,"croixrousse, premierarrondissement, premier festivaloflights, nealpes premierarrondissement, europe premier, res, tedeslumi, pasted, streetart, cembre grandlyon","Cluster 12: croixrousse, premierarrondissement, premier festivaloflights"
13,1306,"jacobins, place jacobins, placedesjacobins, place, fontaine, fontaine jacobins, res, pride, fountain, gay","Cluster 13: jacobins, place jacobins, placedesjacobins"
14,1094,"confluence, lego, ferrari, superposition, confluence confluence, club, session, lyoncity quartierdelaconfuence, quartierdelaconfuence, confluence villedelyon","Cluster 14: confluence, lego, ferrari"
15,2672,"sido, conf rence, cit, conf, rence, internationale, mac, frenchtech, conference, robot","Cluster 15: sido, conf rence, cit"
16,778,"gare, part dieu, sncf, part, dieu, gare part, partdieu, ter, train, pilote","Cluster 16: gare, part dieu, sncf"
17,1955,"bourse, palais, cordeliers, saint, bonaventure, gospel, vendredi juin, arts palais, musée beaux, pierre vendredi","Cluster 17: bourse, palais, cordeliers"
18,1511,"pasted, paper, pasted paper, croixrousse, croixrousse streetart, europe croixrousse, streetart, wheatpaper, collage, wheatpaste","Cluster 18: pasted, paper, pasted paper"
19,514,"zombie, zombie walk, croixrousse, photomobile, patman photomobile, nealpes croixrousse, croixrousse zombiewalk, zombiewalk patman, walk, zombiewalk","Cluster 19: zombie, zombie walk, croixrousse"
20,646,"tedor, parcdelat, parcdelat tedor, parc, parc tête, lumières, fête, res, fête lumières, tête","Cluster 20: tedor, parcdelat, parcdelat tedor"
21,419,"tedor, parcdelat, parc tête, parcdelat tedor, zoo, parc, tête, mammif, animal, animaux","Cluster 21: tedor, parcdelat, parc tête"
22,2431,"confluences, mus, musée confluences, edesconfluences, confluence, musée, mus edesconfluences, confluences mus, museum, mus confluences","Cluster 22: confluences, mus, musée confluences"
23,867,"fresque lyonnais, fresque, lyonnais, saint vincent, fresco, passerelle, fresquedeslyonnais, vincent, mural, dubai","Cluster 23: fresque lyonnais, fresque, lyonnais"
24,411,"voraces, croixrousse, cour voraces, pasted, cour, paper, streetart, europe croixrousse, croixrousse streetart, pasted paper","Cluster 24: voraces, croixrousse, cour voraces"
25,440,"open, université, européenne, partis, colloque, union, pont, quel, piscine, pont université","Cluster 25: open, université, européenne"
26,299,"tedor, parcdelat, parcdelat tedor, greenhouse, serre, jardinbotaniquedelyon, lyonbotanicgarden, botanicgarden, parc, grandesserrestropicales","Cluster 26: tedor, parcdelat, parcdelat tedor"
27,940,"georges, saint georges, passerelle, saint, saintgeorges, river, weiqi, baduk, eglise, passerellesaintgeorges","Cluster 27: georges, saint georges, passerelle"
28,401,"zombie, zombie walk, walk, walk zombie, carnot, perrache, blood sony, sony attack, attack alpha, zombies nealpes","Cluster 28: zombie, zombie walk, walk"
29,1589,"croixrousse, pasted, paper, zombie, pasted paper, streetart, europe croixrousse, croixrousse streetart, wheatpaste, wheatpaper","Cluster 29: croixrousse, pasted, paper"
30,322,"pasted, croixrousse, paper, pasted paper, europe croixrousse, croixrousse streetart, streetart, collage, wheatpaper, wheatpaste","Cluster 30: pasted, croixrousse, paper"
31,284,"vogue, croixrousse, rousse, croix, croix rousse, vogue croix, zombie, vogue marrons, marrons, pasted","Cluster 31: vogue, croixrousse, rousse"
32,248,"passerelle collège, passerelle, collège, passerelleducoll, bridge, pont, res, fleuve, tedeslumi, river","Cluster 32: passerelle collège, passerelle, collège"
33,342,"confluence, summit, hôtel région, région, région auvergne, digital, hôtel, auvergne alpes, auvergne, quartierdelaconfuence","Cluster 33: confluence, summit, hôtel région"
34,169,"gourguillon, vieuxlyon, montée, camino, old town, saint georges, vieux, old, frigno, rooftops","Cluster 34: gourguillon, vieuxlyon, montée"
35,794,"incity, tour, tour incity, garibaldi, tower, bocuse, molition, lafayette tour, paul bocuse, hallespaulbocuse","Cluster 35: incity, tour, tour incity"
36,532,"institutlumi, remus, europe museu, mus viagem, lumière, travel museum, mus, museu, museum, musée","Cluster 36: institutlumi, remus, europe museu"
37,623,"mondiaux, athl tisme, tisme, athl, instapic, street day, earth, photooftheday, instamood, picoftheday","Cluster 37: mondiaux, athl tisme, tisme"
