cluster_id,poi_name,n_photos,top_keywords,tfidf_scores,description
0,Jpg Jpg Scooter Rillieuxlapape,406,"jpg jpg, jpg, scooter, rillieuxlapape, lalogothequecom, brignais, rallye gones, rallye, gones, vespa","0.448, 0.391, 0.348, 0.261, 0.247, 0.234, 0.223, 0.188, 0.188, 0.157","Jpg Jpg Scooter Rillieuxlapape: jpg jpg, jpg, scooter"
1,Corbas Campagne Brouillard Nature,136,"corbas, campagne, brouillard, nature, oiseau, hiver, saone, coucherdesoleil, nature fleur, ciel","0.683, 0.429, 0.286, 0.257, 0.253, 0.239, 0.123, 0.089, 0.089, 0.068","Corbas Campagne Brouillard Nature: corbas, campagne, brouillard"
2,Chaos Ddc Demeureduchaos Abodeofchaos,16682,"chaos, ddc, demeureduchaos, abodeofchaos, thierryehrmann, demeureduchaos thierryehrmann, alchemy, organmuseum, lespritdelasalamandre, salamanderspirit","0.170, 0.161, 0.146, 0.145, 0.141, 0.138, 0.138, 0.134, 0.132, 0.131","Chaos Ddc Demeureduchaos Abodeofchaos: chaos, ddc, demeureduchaos"
3,Miribel Jonage Ornithologie Vaulxenvelin,679,"miribel, jonage, ornithologie, vaulxenvelin, lac, nealpes vaulxenvelin, tang, animaux miribel, lac animaux, animaux","0.409, 0.377, 0.310, 0.299, 0.251, 0.244, 0.236, 0.213, 0.210, 0.185","Miribel Jonage Ornithologie Vaulxenvelin: miribel, jonage, ornithologie"
4,Parcdelat Tedor Sido Iot,6286,"sido, tedor, parcdelat, parcdelat tedor, iot, parc tete, internationale, cit, parc, transbordeur","0.448, 0.263, 0.241, 0.228, 0.227, 0.191, 0.186, 0.183, 0.182, 0.143","Parcdelat Tedor Sido Iot: sido, tedor, parcdelat"
5,Automne Autumn Cines Passerelle,79,"cines, passerelle, atelier, automne autumn, fall, allons, flower, enfants, autumn, jonage","0.541, 0.267, 0.254, 0.167, 0.133, 0.129, 0.125, 0.124, 0.123, 0.120","Automne Autumn Cines Passerelle: cines, passerelle, atelier"
6,Villeurbanne Boxe Maquette Miniature,1412,"villeurbanne, boxe, maquette, miniature, mini, soie, asvel, sports, world, cco","0.559, 0.272, 0.255, 0.245, 0.242, 0.236, 0.229, 0.202, 0.192, 0.177","Villeurbanne Boxe Maquette Miniature: villeurbanne, boxe, maquette"
7,Pasted Paper Croixrousse Europe,25613,"pasted, croixrousse, pasted paper, paper, europe, streetart, wheatpaper, wheatpaste, europe croixrousse, croixrousse streetart","0.348, 0.340, 0.270, 0.268, 0.215, 0.215, 0.178, 0.178, 0.178, 0.177","Pasted Paper Croixrousse Europe: pasted, croixrousse, pasted paper"
8,Mont Blanc Monocycle Chemin,112,"mont, blanc, monocycle, chemin, celine, lights, woman, landscape, portraits, shooting","0.833, 0.232, 0.116, 0.113, 0.100, 0.097, 0.095, 0.089, 0.088, 0.086","Mont Blanc Monocycle Chemin: mont, blanc, monocycle"
9,Laval Juillet Parc Vtt,202,"laval, juillet, parc, vtt, chateau, tassinlademilune, cute, lovely, affiche, fille","0.846, 0.311, 0.265, 0.168, 0.145, 0.114, 0.075, 0.065, 0.062, 0.061","Laval Juillet Parc Vtt: laval, juillet, parc"
10,Institutlumi Lumiere Weiqi Baduk,2222,"institutlumi, lumiere, lumi, weiqi, baduk, mus, musee, remus, lumiere voyage, europe museu","0.382, 0.281, 0.207, 0.176, 0.176, 0.167, 0.146, 0.143, 0.140, 0.140","Institutlumi Lumiere Weiqi Baduk: institutlumi, lumiere, lumi"
11,Guilloti Perrache River Europe,8193,"guilloti, perrache, river, europe, manifestation, guillotiere, bmx, pont, fleuve, lione","0.251, 0.208, 0.199, 0.195, 0.170, 0.169, 0.159, 0.145, 0.109, 0.105","Guilloti Perrache River Europe: guilloti, perrache, river"
12,Comp Tition Championnat Europe,522,"championnat, comp tition, comp, europe, tition, streetart streetart, streetart, sport, urba, urba urba","0.708, 0.374, 0.354, 0.325, 0.308, 0.116, 0.076, 0.048, 0.041, 0.039","Comp Tition Championnat Europe: championnat, comp tition, comp"
13,Accr Ditation Lou Gerland,3892,"lou, gerland, concert, live, accr ditation, accr, halletonygarnier, ubb, halle tony, ditation","0.246, 0.225, 0.190, 0.174, 0.165, 0.165, 0.162, 0.149, 0.143, 0.143","Accr Ditation Lou Gerland: lou, gerland, concert"
14,Tha Lande Chaponost Craponne,573,"chaponost, craponne, tha lande, tha, lande, mai, jpg, aqueduc, romain, pellicule","0.474, 0.463, 0.414, 0.414, 0.388, 0.234, 0.088, 0.046, 0.038, 0.015","Tha Lande Chaponost Craponne: chaponost, craponne, tha lande"
15,Inte Rieur Villeurbanne Lesinvites,2190,"villeurbanne, inte rieur, inte, rieur, lesinvites, artsdelarue, chat, spectacle villeurbanne, artidistrada, streetarts nealpes","0.667, 0.209, 0.209, 0.191, 0.151, 0.150, 0.150, 0.123, 0.116, 0.116","Inte Rieur Villeurbanne Lesinvites: villeurbanne, inte rieur, inte"
16,Sainte Foy Bulles,603,"foy, sainte foy, sainte, bulles, moso allons, allons moso, moso, allons, cosplay, hopital","0.597, 0.492, 0.304, 0.245, 0.220, 0.220, 0.220, 0.168, 0.110, 0.096","Sainte Foy Bulles: foy, sainte foy, sainte"
17,Parcdelat Tedor,8207,"tedor, parcdelat, parcdelat tedor, parc tete, parc, ldoll, tete, japan touch, haru, touch haru","0.376, 0.354, 0.324, 0.250, 0.215, 0.214, 0.193, 0.183, 0.174, 0.168","Parcdelat Tedor: tedor, parcdelat, parcdelat tedor"
18,Musee Confluences,10101,"confluence, confluences, mus, musee confluences, musee, architecture, edesconfluences, mus edesconfluences, lyoncity quartierdelaconfuence, quartierdelaconfuence confluence","0.704, 0.278, 0.213, 0.180, 0.144, 0.142, 0.132, 0.106, 0.091, 0.091","Musee Confluences: confluence, confluences, mus"
19,Railways Sncf Nissieux Mondiaux,1514,"nissieux, mondiaux, railways sncf, rotonde, frenchrailways, lou, railways, turntable, roundhouse, athl","0.317, 0.311, 0.268, 0.251, 0.237, 0.230, 0.215, 0.195, 0.181, 0.178","Railways Sncf Nissieux Mondiaux: nissieux, mondiaux, railways sncf"
20,Nissan Dardilly Ecole Mazda,420,"nissan, dardilly, ecole, mazda, bts, urbex urbexfrance, toyota, exploration explo, urbexfrance, abandoned abandonn","0.199, 0.173, 0.169, 0.148, 0.146, 0.146, 0.146, 0.146, 0.146, 0.146","Nissan Dardilly Ecole Mazda: nissan, dardilly, ecole"
21,Inte Rieur Oullins Champs,241,"oullins, champs, confluences, petit, inte rieur, inte, maison, rieur, gtr, hopital","0.578, 0.280, 0.233, 0.231, 0.207, 0.207, 0.200, 0.161, 0.137, 0.121","Inte Rieur Oullins Champs: oullins, champs, confluences"
22,Ile Barbe Cindy Lebarbe,1166,"cindy, ile barbe, barbe, ile, lebarbe, caluireetcuire, caluire, cuire, ghost, liveconcert","0.380, 0.369, 0.353, 0.292, 0.174, 0.147, 0.144, 0.139, 0.129, 0.104","Ile Barbe Cindy Lebarbe: cindy, ile barbe, barbe"
23,Filter Nofilter Flickrmobile,34,"filter nofilter, nofilter, flickrmobile flickriosapp, flickriosapp filter, flickrmobile, flickriosapp, uploaded flickrmobile, asvel, filter, sylvainmestre","0.267, 0.262, 0.251, 0.246, 0.246, 0.246, 0.246, 0.243, 0.237, 0.187","Filter Nofilter Flickrmobile: filter nofilter, nofilter, flickrmobile flickriosapp"
