cluster_id,n_photos,min_date,max_date,span_days
1,19033,1930-01-01 00:00:00+00:00,2019-11-29 19:26:00+00:00,32839
7,14316,2004-01-06 21:17:00+00:00,2019-08-24 15:03:00+00:00,5708
0,11004,1974-01-01 00:00:00+00:00,2019-11-30 18:12:00+00:00,16769
2,9786,1935-01-01 00:00:00+00:00,2019-11-30 18:24:00+00:00,31014
5,7512,1988-10-05 11:34:00+00:00,2019-11-12 02:03:00+00:00,11359
15,2672,1997-06-11 16:00:00+00:00,2019-10-13 10:40:00+00:00,8158
22,2431,2010-04-06 18:04:00+00:00,2019-10-16 18:16:00+00:00,3480
17,1955,2005-10-15 01:36:00+00:00,2019-09-30 10:19:00+00:00,5098
10,1861,1976-03-01 00:00:00+00:00,2019-11-16 17:04:00+00:00,15965
4,1693,2009-11-13 10:18:00+00:00,2019-11-16 14:55:00+00:00,3655
6,1685,1995-01-14 00:00:00+00:00,2019-10-18 12:49:00+00:00,9043
11,1683,1974-01-01 00:00:00+00:00,2019-11-29 16:12:00+00:00,16768
29,1589,2007-12-08 21:02:00+00:00,2019-11-10 15:16:00+00:00,4354
18,1511,2007-10-05 14:29:00+00:00,2019-11-12 08:00:00+00:00,4420
13,1306,1976-03-01 00:00:00+00:00,2019-11-30 17:24:00+00:00,15979
14,1094,1980-01-01 00:00:00+00:00,2019-10-25 21:04:00+00:00,14542
3,977,2006-08-06 16:42:00+00:00,2019-11-10 13:41:00+00:00,4843
27,940,2004-12-04 17:12:00+00:00,2019-10-25 22:27:00+00:00,5438
23,867,1974-01-01 00:00:00+00:00,2019-11-10 15:48:00+00:00,16749
35,794,2006-03-31 09:11:00+00:00,2019-11-02 12:55:00+00:00,4964
16,778,2002-08-13 17:21:00+00:00,2019-09-08 13:22:00+00:00,6234
41,674,2000-03-19 00:34:00+00:00,2019-02-03 22:13:00+00:00,6895
20,646,2008-04-13 15:07:00+00:00,2019-10-20 07:18:00+00:00,4206
37,623,2013-07-20 12:49:00+00:00,2013-07-30 19:52:00+00:00,10
39,606,2009-02-15 15:52:00+00:00,2019-10-23 12:10:00+00:00,3901
9,583,2008-04-13 15:19:00+00:00,2019-09-27 08:46:00+00:00,4183
36,532,2004-12-20 16:08:00+00:00,2019-10-19 10:48:00+00:00,5415
19,514,2008-03-12 17:15:00+00:00,2019-10-18 11:30:00+00:00,4236
25,440,1989-01-01 00:00:00+00:00,2019-07-22 15:59:00+00:00,11159
21,419,2008-09-20 12:20:00+00:00,2019-08-17 10:00:00+00:00,3982
24,411,2007-10-25 05:26:00+00:00,2019-10-19 11:42:00+00:00,4377
28,401,1997-06-12 17:01:00+00:00,2019-07-27 12:30:00+00:00,8079
33,342,2009-03-20 18:37:00+00:00,2019-11-01 12:53:00+00:00,3877
8,328,2005-08-03 02:57:00+00:00,2019-11-27 21:38:00+00:00,5229
30,322,2008-05-08 18:09:00+00:00,2019-11-10 15:20:00+00:00,4202
44,314,2008-04-13 16:06:00+00:00,2019-09-26 16:53:00+00:00,4183
26,299,2009-11-09 17:24:00+00:00,2019-10-13 09:40:00+00:00,3624
42,288,2001-11-01 00:00:00+00:00,2019-10-06 11:16:00+00:00,6548
31,284,2004-10-16 12:09:00+00:00,2019-08-11 19:34:00+00:00,5412
38,263,2009-07-12 11:28:00+00:00,2019-11-10 15:01:00+00:00,3773
12,255,2005-07-04 02:38:00+00:00,2019-10-25 22:36:00+00:00,5226
32,248,2005-08-03 02:18:00+00:00,2019-09-05 15:55:00+00:00,5146
40,209,2009-07-10 18:34:00+00:00,2019-09-28 14:21:00+00:00,3731
48,187,2011-01-11 21:21:00+00:00,2019-09-07 12:46:00+00:00,3160
34,169,2005-03-20 12:42:00+00:00,2019-06-21 05:38:00+00:00,5205
43,151,2008-10-10 18:40:00+00:00,2019-08-18 11:59:00+00:00,3963
45,141,2009-10-03 17:54:00+00:00,2019-07-13 14:20:00+00:00,3569
47,133,2007-02-25 06:26:00+00:00,2019-10-31 13:11:00+00:00,4631
46,34,2012-08-14 16:51:00+00:00,2019-06-27 12:08:00+00:00,2507
